rating,season,title
8.5,Season 1,Avatar: The Last Airbender
8.1,Season 1,The Boy in the Iceberg
8.3,Season 1,The Avatar Returns
8.5,Season 1,The Southern Air Temple
8.2,Season 1,The Warriors of Kyoshi
8.2,Season 1,The King of Omashu
8.0,Season 1,Imprisoned
8.2,Season 1,"The Spirit World: Winter Solstice, Part 1"
8.9,Season 1,"Avatar Roku: Winter Solstice, Part 2"
8.0,Season 1,The Waterbending Scroll
7.9,Season 1,Jet
7.1,Season 1,The Great Divide
9.0,Season 1,The Storm
9.1,Season 1,The Blue Spirit
8.0,Season 1,The Fortuneteller
7.9,Season 1,Bato of the Water Tribe
8.5,Season 1,The Deserter
8.1,Season 1,The Northern Air Temple
8.6,Season 1,The Waterbending Master
9.4,Season 1,The Siege of the North
9.7,Season 1,The Siege of the North Part 2
8.7,Season 2,The Avatar State
8.2,Season 2,The Cave of Two Lovers
8.5,Season 2,Return to Omashu
7.8,Season 2,The Swamp
7.6,Season 2,Avatar Day
9.1,Season 2,The Blind Bandit
9.4,Season 2,Zuko Alone
8.9,Season 2,The Chase
8.6,Season 2,Bitter Work
8.8,Season 2,The Library
8.8,Season 2,The Desert
8.4,Season 2,The Serpent's Pass
9.0,Season 2,The Drill
8.7,Season 2,City of Walls and Secrets
9.2,Season 2,The Tales of Ba Sing Se
8.8,Season 2,Appa's Lost Days
9.0,Season 2,Lake Laogai
8.6,Season 2,The Earth King
9.0,Season 2,The Guru
9.6,Season 2,The Crossroads of Destiny
8.7,Season 3,The Awakening
8.4,Season 3,The Headband
8.0,Season 3,The Painted Lady
8.8,Season 3,Sokka's Master
8.5,Season 3,The Beach
9.4,Season 3,The Avatar and the Fire Lord
8.2,Season 3,The Runaway
9.1,Season 3,The Puppetmaster
7.8,Season 3,Nightmares and Daydreams
9.1,Season 3,"The Day of Black Sun, Part 1: The Invasion"
9.4,Season 3,"The Day of Black Sun, Part 2: The Eclipse"
8.9,Season 3,The Western Air Temple
9.2,Season 3,The Firebending Masters
8.7,Season 3,The Boiling Rock: Part 1
9.2,Season 3,"The Boiling Rock, Part 2"
8.9,Season 3,The Southern Raiders
8.6,Season 3,The Ember Island Players
9.1,Season 3,"Sozin's Comet, Part 1: The Phoenix King"
9.5,Season 3,"Sozin's Comet, Part 2: The Old Masters"
9.7,Season 3,"Sozin's Comet, Part 3: Into the Inferno"
9.8,Season 3,"Sozin's Comet, Part 4: Avatar Aang"
8.5,Unknown Season,Escape from the Spirit World
8.4,Unknown Season,Super Deformed Shorts: Bending Battle
8.3,Unknown Season,Super Deformed Shorts: School Time Shipping
7.8,Unknown Season,Super Deformed Shorts: Swamp Skiin' Throwdown
